	9	15	18	9	14	27																																			
9				3	9																																				
15				14		18																																			
18					27	28																														8		21			
9	3	14																																							
14	9		27																																	23				24	
27		18	28																			16	21	16			15											13			
											7	7						5		12	3																				
												0	4								9					16															
													4																												
											3																							5							
							7			3		7			15																		7								
							7	0			7																														
								4	4																																
															7	12			8	10				8						7									13		
											15			7				6		12										4			7								
														12			6		5											15											
																6			6																17						
							5								6																										
														8		5	6																		18		18		8		
							12							10	12									6	7																
							3	9																	6	11															
						16																	5		12	12	3														
						21																5				8															
						16								8						6					12		8											16	5		
																				7	6	12		12		7	14														
								16													11	12	8		7																
						15																3		8	14																
																															3										
																														7	8		7								
														7	4	15													7				6								
																												3	8			0									
																															0			3							
											7				7														7	6				6							
										5																						3	6								
																	17		18																	12	9				9
			8		23																														12		24			13	12
																			18																9	24		0	14		
			21			13																		16													0				
														13					8					5													14				
					24																															13					3
																																			9	12				3	
